date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return
2015-01-02,-0.009513,0.285036759464228,0.0003658648129516,-1.6354117175271708e-12,-0.00034,9.13165153415846,0.000556578
2015-01-05,-0.028172,0.2083302101831812,9.411764705887167e-05,-4.124317241982305e-12,-0.018278,11.034929209030963,-0.018580162
2015-01-06,9.4e-05,0.0234583673185402,0.0002823263692829,1.3444702101427341e-14,-0.008893,11.293790631750502,-0.007428429
2015-01-07,0.014022,-0.3904498184996436,9.2807424594015e-05,3.244713538376865e-12,0.01163,6.884132129410543,0.012254393
2015-01-08,0.038422,0.4801674006930123,0.0001787469836446,5.7844428641852355e-12,0.017888,10.189667960016855,0.018388311
2015-01-09,0.001073,-0.0954276632482347,8.927774305870115e-05,1.7839080463769695e-13,-0.008404,9.21920175774128,-0.009520954
2015-01-12,-0.024641,-0.0660478257098987,9.153318077807886e-05,-4.4971956845301875e-12,-0.008094,8.610293526861591,-0.005442143
2015-01-13,0.008879,0.3377506615285013,9.07276356378617e-05,1.2006968659898428e-12,-0.002579,11.518425861513666,-0.001539618
2015-01-14,-0.003811,-0.2703058406668533,0.0001821493624771,-7.089660950235427e-13,-0.005813,8.40492807585839,-0.010593462
2015-01-15,-0.02714,0.2258614918180164,0.0001872308556451,-4.233550305670014e-12,-0.009248,10.303277669694896,-0.006104227
2015-01-16,-0.00777,0.3086146604868638,0.0002830455703368,-9.334515909362354e-13,0.013424,13.48302020962967,0.011019142
2015-01-20,0.025757,-0.3645917986197143,9.197939661507454e-05,4.747540647327626e-12,0.00155,8.56722162057483,0.000209014
2015-01-21,0.007634,-0.0265723311936756,9.128251939745236e-05,1.434560751561181e-12,0.004732,8.339570570263298,0.002229421
2015-01-22,0.026016,0.1074712423735582,8.896797153029463e-05,4.302500464912e-12,0.01527,9.235834580311458,0.01479418
2015-01-23,0.00516,-0.1361882909322069,8.85112409275173e-05,9.828240105231071e-13,-0.005492,7.978022053486263,-0.007936511
2015-01-26,0.001062,0.196954321121977,0.0001768346595932,1.6881536087543361e-13,0.002568,9.54932797092681,0.000345145
2015-01-27,-0.035013,0.7183256955570927,9.162543522086415e-05,-3.356525411539783e-12,-0.013388,16.408855627745613,-0.016488107
2015-01-28,0.056533,0.5372582919638293,8.672274737668125e-05,3.3368200100935776e-12,-0.013496,25.224649375389287,-0.011263554
2015-01-29,0.031134,-0.4253180006270587,0.0003364171572749,3.10115299951344e-12,0.009535,14.49615193653013,0.013115911
2015-01-30,-0.014634,-0.0080826603378977,0.0004267668146124,-1.4913457203628286e-12,-0.012992,14.3789844642206,-0.014463028
2015-02-02,0.012547,-0.2509017095919797,8.42957093484373e-05,1.6857812000999582e-12,0.012962,10.771272679951132,0.011423852
2015-02-03,0.000169,-0.1725248453740375,8.42815002106271e-05,2.7435939594378063e-14,0.014439,8.912960526360969,0.017588885
2015-02-04,0.00767,0.3512244232477508,8.364001338232607e-05,9.144981832928006e-13,-0.004156,12.04340994666207,0.000374674
2015-02-05,0.007109,-0.397771224756246,8.337502084367938e-05,1.4029957530622088e-12,0.010291,7.252888021936743,0.01198784
2015-02-06,-0.008421,0.0345669774911356,8.408307407723128e-05,-1.620039199607753e-12,-0.003418,7.503598438936757,-0.003387878
2015-02-09,0.006643,-0.1102070695549891,8.352823254264213e-05,1.4267959505689573e-12,-0.004247,6.676648843864147,-0.005334189
2015-02-10,0.019211,0.5981169559717681,8.195377806909446e-05,2.533230543754129e-12,0.010676,10.670065726448597,0.007871125
2015-02-11,0.023439,0.1843109922110934,8.007687379888786e-05,2.549976588652211e-12,-2.9e-05,12.636676127447917,-0.000370431
2015-02-12,0.012652,0.0118117877514891,7.907638779064618e-05,1.3433719482311573e-12,0.009645,12.78593786374964,0.006171726
2015-02-13,0.004903,-0.2710560231152346,7.869058860564303e-05,7.106909821668166e-13,0.004075,9.320232394603163,0.002613385
2015-02-17,0.005902,0.1632846887631991,7.822889775475949e-05,7.310995591521976e-13,0.001598,10.84208364035663,0.001566675
2015-02-18,0.006923,-0.2891523766988763,7.761333177941756e-05,1.1981157041449034e-12,-0.000314,7.707069387379505,-0.000982429
2015-02-19,-0.002059,-0.1677225365550012,7.792915531352668e-05,-4.290300314512491e-13,-0.001062,6.414420160322815,-0.002444839
2015-02-20,0.008135,0.3100993215609038,7.714583574645917e-05,1.283411098949645e-12,0.006126,8.403527500245504,0.008599572
2015-02-23,0.027067,0.4621880620073002,0.0003759398496241,2.8434557990847058e-12,-0.000303,12.287537589609029,-0.001300939
2015-02-24,-0.006241,-0.0327449312795079,7.55844745404869e-05,-6.820846530609044e-13,0.002759,11.885183015642909,0.005097446
2015-02-25,-0.025573,0.079253892445789,7.764578598065662e-05,-2.657620290605258e-12,-0.000766,12.82713003206319,0.000844676
2015-02-26,0.012617,0.2218145802438071,7.667830208775008e-05,1.059782268688953e-12,-0.001476,15.67237449585802,-0.000556962
2015-02-27,-0.014991,-0.3206642932746902,7.784523759566035e-05,-1.8817688225709798e-12,-0.002956,10.646803604207427,-0.004486594
2015-03-02,0.004904,-0.224434357342362,7.738786892877955e-05,7.898468948362317e-13,0.006125,8.25729507954679,0.008599472
2015-03-03,0.002092,-0.21356246690129,0.0001545299938157,4.275456533065892e-13,-0.004539,6.493846772426893,-0.004662007
2015-03-04,-0.006339,-0.1619951777422674,7.779680082432639e-05,-1.5558108447682976e-12,-0.004389,5.441874910296549,-0.005848849
